,City,Country,Date,Latitude,Longitude,Max Temperature,Humidity,Cloudiness,Wind Speed
0,Ţahţā,EG,1600029003,26.77,31.5,31.0,27,0,1.0
1,Albany,US,1600029004,42.6,-73.97,23.33,67,65,2.94
2,Hobart,AU,1600028750,-42.88,147.33,8.0,61,20,8.2
3,Rikitea,PF,1600029004,-23.12,-134.97,23.1,84,0,6.09
4,Busselton,AU,1600029004,-33.65,115.33,13.33,63,100,3.02
5,Mataura,NZ,1600028823,-46.19,168.86,11.11,92,100,2.68
6,Port Alfred,ZA,1600029005,-33.59,26.89,15.01,64,0,4.15
7,Asău,RO,1600029006,46.43,26.4,15.0,91,4,2.14
8,Boddam,GB,1600029007,57.47,-1.78,17.78,82,22,9.3
9,Lithakia,GR,1600029007,37.72,20.83,27.0,83,0,0.7
10,Kieta,PG,1600029007,-6.22,155.63,27.26,74,76,2.32
11,Hermanus,ZA,1600029008,-34.42,19.23,13.33,75,35,3.13
12,Bethel,US,1600029008,41.37,-73.41,23.33,64,75,4.1
13,Fortuna,US,1600029008,40.6,-124.16,15.56,100,75,3.46
14,Papara,BR,1600029009,-3.98,-38.73,28.0,65,20,8.2
15,Nyuksenitsa,RU,1600029009,60.41,44.24,7.95,91,0,5.06
16,Boa Vista,BR,1600028709,2.82,-60.67,36.0,37,40,2.6
17,Hithadhoo,MV,1600029009,-0.6,73.08,27.43,69,85,2.5
18,Srednekolymsk,RU,1600029009,67.45,153.68,6.99,70,0,2.35
19,Punta Arenas,CL,1600028781,-53.15,-70.92,7.0,67,100,9.8
20,Yozgat Province,TR,1600029010,39.58,35.33,19.69,55,0,1.73
21,Plettenberg Bay,ZA,1600029010,-34.05,23.37,13.61,60,0,4.97
22,Tateyama,JP,1600029010,34.98,139.87,22.78,93,2,1.34
23,Vestmanna,FO,1600029010,62.16,-7.17,9.0,87,98,2.6
24,Moranbah,AU,1600029011,-22.0,148.05,15.45,95,43,5.68
25,Provideniya,RU,1600029011,64.38,-173.3,9.0,87,90,7.0
26,Boone,US,1600029011,39.03,-92.33,24.44,58,0,0.45
27,Lagos,NG,1600028542,6.58,3.75,28.0,65,20,1.5
28,Ushuaia,AR,1600028796,-54.8,-68.3,7.0,67,100,2.21
29,Yumen,CN,1600029011,40.28,97.2,7.37,49,0,1.94
30,Sitka,US,1600029012,57.05,-135.33,16.0,38,1,1.5
31,Puerto Ayora,EC,1600029012,-0.74,-90.35,26.0,54,20,3.1
32,Altay,CN,1600029012,47.87,88.12,8.41,50,0,1.44
33,Sibolga,ID,1600029013,1.74,98.78,24.8,79,94,1.58
34,Qaanaaq,GL,1600029013,77.48,-69.36,-5.18,81,4,3.37
35,Rawson,AR,1600029013,-43.3,-65.1,10.58,47,0,4.28
36,Lüshunkou,CN,1600029013,38.8,121.27,18.0,93,87,3.0
37,Mar del Plata,AR,1600028798,-38.0,-57.56,12.22,54,100,5.1
38,Cap Malheureux,MU,1600029014,-19.98,57.61,19.44,85,95,2.24
39,Tasiilaq,GL,1600029014,65.61,-37.64,3.0,69,92,2.1
40,Sinnamary,GF,1600029014,5.38,-52.95,28.05,78,0,4.89
41,Sinazongwe,ZM,1600029015,-17.26,27.46,22.17,41,0,1.35
42,Tuktoyaktuk,CA,1600029015,69.45,-133.04,4.0,93,90,12.9
43,Itarema,BR,1600029015,-2.92,-39.92,26.07,73,69,8.16
44,Coquimbo,CL,1600029015,-29.95,-71.34,16.0,63,0,5.7
45,Mana,GF,1600029016,5.66,-53.78,27.99,77,2,4.94
46,Portland,US,1600028860,45.52,-122.68,16.0,93,90,1.14
47,Upernavik,GL,1600029016,72.79,-56.15,0.02,96,98,4.82
48,Senador Guiomard,BR,1600029016,-10.15,-67.74,34.0,44,20,3.6
49,Chokurdakh,RU,1600028805,70.63,147.92,5.89,75,25,1.42
50,Flagstaff,US,1600028894,35.2,-111.65,25.0,18,90,5.1
51,Luorong,CN,1600029016,24.41,109.61,22.32,87,91,1.79
52,Faanui,PF,1600029017,-16.48,-151.75,25.7,79,91,5.17
53,Saint Paul Harbor,US,1600029017,57.79,-152.41,14.0,50,1,1.5
54,Cherskiy,RU,1600029017,68.75,161.3,7.43,64,0,2.91
55,Cape Town,ZA,1600029017,-33.93,18.42,12.78,87,75,7.2
56,Dungarvan,IE,1600029017,52.09,-7.63,16.67,83,48,1.79
57,Iqaluit,CA,1600029012,63.75,-68.51,4.0,89,90,5.06
58,Matagami,CA,1600029018,49.75,-77.63,13.0,93,90,5.1
59,Butaritari,KI,1600029018,3.07,172.79,28.21,75,12,7.01
60,Bluff,NZ,1600029018,-46.6,168.33,11.11,91,100,1.79
61,Trelleborg,SE,1600029018,55.38,13.16,18.0,82,90,6.2
62,San Jose,US,1600028733,37.34,-121.89,22.78,68,90,2.6
63,Westport,US,1600028817,41.14,-73.36,24.44,64,40,5.1
64,Kavieng,PG,1600029019,-2.57,150.8,28.25,77,66,6.11
65,Belmonte,BR,1600029019,-15.86,-38.88,25.0,69,40,4.1
66,El Dorado,US,1600029019,33.21,-92.67,25.0,100,90,2.6
67,Saskylakh,RU,1600029019,71.92,114.08,7.19,80,100,1.65
68,Atar,MR,1600028836,20.52,-13.05,38.46,15,48,3.91
69,Cabo San Lucas,MX,1600028904,22.89,-109.91,32.22,70,40,5.1
70,Port Elizabeth,ZA,1600029021,-33.92,25.57,13.0,76,0,4.6
71,Lompoc,US,1600028807,34.64,-120.46,20.0,72,1,4.6
72,Khabez,RU,1600029021,44.04,41.77,17.78,4,0,4.92
73,Clyde River,CA,1600029021,70.47,-68.59,5.0,52,75,2.6
74,Bengkulu,ID,1600028836,-3.8,102.27,23.93,90,47,2.16
75,New Norfolk,AU,1600029021,-42.78,147.06,6.67,69,42,1.79
76,Lavrentiya,RU,1600029022,65.58,-171.0,5.65,93,100,7.8
77,College,US,1600028796,64.86,-147.8,9.44,61,20,1.5
78,Dillon,US,1600029023,34.42,-79.37,30.56,65,90,2.1
79,Bluefields,NI,1600029023,12.01,-83.76,27.0,83,75,4.1
80,Salaga,GH,1600029024,8.55,-0.52,21.99,95,25,0.98
81,Oranjemund,NA,1600029024,-28.55,16.43,13.14,76,0,3.77
82,Brewster,US,1600028816,41.4,-73.62,23.0,64,75,4.1
83,Zabaykal'sk,RU,1600029024,49.63,117.32,6.5,87,47,1.99
84,Tiksi,RU,1600029024,71.69,128.87,4.06,88,9,0.71
85,Yellowknife,CA,1600029010,62.46,-114.35,3.89,55,75,4.1
86,Ciudad Bolivar,VE,1600029024,8.12,-63.55,32.99,54,78,2.7
87,Ous,RU,1600029024,60.91,61.52,9.9,82,100,3.85
88,Norman Wells,CA,1600028844,65.28,-126.83,4.0,60,20,1.5
89,Tuatapere,NZ,1600029025,-46.13,167.68,11.11,91,100,1.79
90,Dingle,PH,1600029025,11.0,122.67,24.82,92,70,2.22
91,Carnarvon,AU,1600029025,-24.87,113.63,15.0,100,0,2.1
92,Taoudenni,ML,1600029026,22.68,-3.98,41.14,11,44,4.44
93,Vestmannaeyjar,IS,1600029026,63.44,-20.27,8.0,81,75,8.7
94,Hong Kong,HK,1600028813,22.29,114.16,26.67,88,52,3.58
95,Hendek,TR,1600029026,40.8,30.75,20.0,100,75,1.0
96,Sumenep,ID,1600029027,-7.02,113.87,25.75,70,81,3.86
97,Indramayu,ID,1600029027,-6.33,108.32,25.64,70,100,3.96
98,Longyearbyen,SJ,1600029027,78.22,15.64,3.0,74,75,6.7
99,Hilo,US,1600029027,19.73,-155.09,28.0,58,75,2.6
100,Egvekinot,RU,1600029027,66.32,-179.17,3.2,95,100,4.68
101,Kaitangata,NZ,1600029027,-46.28,169.85,11.67,92,95,1.92
102,Jamestown,US,1600029002,42.1,-79.24,22.78,77,75,5.7
103,Half Moon Bay,US,1600028823,37.46,-122.43,21.11,77,75,2.1
104,Kajaani,FI,1600029009,64.23,27.73,11.0,76,90,5.7
105,Dīr,PK,1600029028,35.21,71.88,18.44,56,46,1.71
106,Zwedru,LR,1600029028,6.07,-8.13,22.52,97,96,2.14
107,Acapulco de Juárez,MX,1600028666,16.86,-99.89,31.0,74,40,2.6
108,Nanortalik,GL,1600028857,60.14,-45.24,3.93,70,0,3.38
109,Severo-Kuril'sk,RU,1600029028,50.68,156.12,9.95,79,4,7.43
110,Mt. Pleasant,US,1600028831,32.79,-79.86,31.11,74,20,4.71
111,Arrondissement de Saint-Denis,FR,1600029028,48.92,2.33,22.0,52,0,1.0
112,Saldanha,ZA,1600029029,-33.01,17.94,13.0,82,82,1.5
113,Leningradskiy,RU,1600029029,69.38,178.42,5.64,81,100,0.78
114,Bordighera,IT,1600029029,43.78,7.66,27.0,51,0,1.5
115,Pictou,CA,1600029005,45.68,-62.72,19.44,76,96,3.58
116,Nioki,CD,1600029029,-2.72,17.68,24.98,79,25,1.68
117,Māngrol,IN,1600029030,21.12,70.12,27.24,85,100,5.04
118,Castro,BR,1600029030,-24.79,-50.01,22.89,47,11,2.14
119,Vaini,TO,1600029030,-21.2,-175.2,21.0,73,75,5.1
120,Kapaa,US,1600029030,22.08,-159.32,29.0,66,75,5.7
121,Isangel,VU,1600029031,-19.55,169.27,23.0,83,90,2.6
122,Flinders,AU,1600029031,-34.58,150.86,11.67,81,0,0.45
123,Belaya Kholunitsa,RU,1600029032,58.84,50.85,11.16,93,100,5.55
124,Lorengau,PG,1600029032,-2.02,147.27,27.98,80,96,5.36
125,Conceição do Mato Dentro,BR,1600029033,-19.04,-43.42,21.13,55,0,3.32
126,Rocha,UY,1600029034,-34.48,-54.33,13.48,93,90,2.85
127,Amapá,BR,1600029034,1.0,-52.0,30.08,58,100,2.15
128,Avarua,CK,1600029011,-21.21,-159.78,24.0,73,97,4.1
129,Thompson,CA,1600029034,55.74,-97.86,12.0,54,75,5.7
130,Paamiut,GL,1600029034,61.99,-49.67,2.85,71,0,1.69
131,Mount Isa,AU,1600029034,-20.73,139.5,22.0,33,0,3.6
132,Curuçá,BR,1600029034,-0.73,-47.85,26.56,83,58,3.19
133,Atuona,PF,1600029035,-9.8,-139.03,25.78,77,1,7.18
134,Saint Lawrence,MT,1600029035,36.06,14.2,23.33,83,20,5.1
135,Guerrero Negro,MX,1600029035,27.98,-114.06,30.96,33,0,4.81
136,Kismayo,SO,1600029035,-0.36,42.55,25.78,80,47,6.41
137,Mabay,PH,1600029035,6.06,124.47,25.6,80,81,1.19
138,Yulara,AU,1600029036,-25.24,130.99,17.0,51,0,5.1
139,Chui,UY,1600029036,-33.7,-53.46,14.54,97,100,3.91
140,Bredasdorp,ZA,1600029036,-34.53,20.04,14.0,62,44,7.7
141,Semey,KZ,1600029036,50.41,80.23,13.04,39,54,0.98
142,Safi,MA,1600029036,32.3,-9.24,21.4,86,92,2.58
143,Esperance,AU,1600029036,-33.87,121.9,10.0,100,2,6.2
144,Shar,KZ,1600029036,49.59,81.05,13.59,42,11,2.43
145,Isla Vista,US,1600029037,34.41,-119.86,28.33,68,1,2.6
146,Bathsheba,BB,1600029037,13.22,-59.52,31.0,70,40,4.1
147,Aykhal,RU,1600028818,66.0,111.5,5.0,86,0,2.0
148,La Romana,DO,1600029037,18.43,-68.97,30.0,70,75,4.1
149,Tilichiki,RU,1600029038,60.47,166.1,6.53,86,100,5.8
150,Bugiri,UG,1600029038,0.57,33.74,19.91,75,70,1.83
151,Mahébourg,MU,1600029038,-20.41,57.7,22.0,78,75,4.6
152,Fort Nelson,CA,1600029038,58.81,-122.7,5.0,75,75,2.1
153,Ancud,CL,1600028806,-41.87,-73.82,12.78,68,29,0.45
154,George Town,MY,1600028794,5.41,100.34,26.0,88,20,1.0
155,Labuhan,ID,1600029038,-6.88,112.21,24.7,80,63,3.85
156,Irosin,PH,1600029038,12.75,124.03,23.22,99,73,1.29
157,Muravlenko,RU,1600029039,63.79,74.52,8.22,86,61,2.54
158,Vila Franca do Campo,PT,1600029039,37.72,-25.43,22.0,78,20,4.6
159,Zheleznodorozhnyy,RU,1600029039,55.75,38.0,15.0,67,75,4.0
160,Ormara,PK,1600029039,25.21,64.64,28.45,73,41,4.29
161,Yanam,IN,1600028887,16.73,82.22,26.27,91,100,2.69
162,Lagoa,PT,1600029040,39.05,-27.98,22.54,82,76,9.58
163,Vao,NC,1600028917,-22.67,167.48,20.84,80,97,8.64
164,Kysyl-Syr,RU,1600028831,63.9,122.76,4.59,95,0,2.68
165,Bequimão,BR,1600029040,-2.45,-44.78,29.0,70,40,6.7
166,Kahului,US,1600028776,20.89,-156.47,32.0,38,20,8.2
167,Masallātah,LY,1600029040,32.62,14.0,24.49,74,0,3.0
168,Dunedin,NZ,1600029040,-45.87,170.5,11.11,67,100,0.89
169,Vysokogornyy,RU,1600029041,50.12,139.15,9.92,83,25,0.28
170,Ponta do Sol,PT,1600029041,32.67,-17.1,23.0,73,20,1.0
171,Khatanga,RU,1600029041,71.97,102.5,7.63,71,0,2.77
172,Dudinka,RU,1600029041,69.41,86.18,11.0,93,40,5.0
173,Ardakān,IR,1600029041,32.31,54.02,22.0,18,0,2.1
174,Batagay-Alyta,RU,1600028818,67.8,130.41,5.58,89,100,6.34
175,Nome,US,1600028783,64.5,-165.41,9.0,81,90,5.7
176,Enshi,CN,1600029042,30.3,109.48,17.92,87,100,1.0
177,Yelets,RU,1600029042,52.62,38.5,16.91,59,100,5.97
178,Kirakira,SB,1600028786,-10.45,161.92,26.74,78,4,2.98
179,Concarneau,FR,1600029042,47.88,-3.92,18.0,82,0,2.1
180,Vardø,NO,1600029043,70.37,31.11,9.0,93,90,6.7
181,São Filipe,CV,1600029043,14.9,-24.5,26.19,81,99,4.24
182,Harper,LR,1600029043,4.38,-7.72,24.9,88,78,4.67
183,Dikson,RU,1600028794,73.51,80.55,7.61,91,53,8.33
184,Nikolskoye,RU,1600029043,59.7,30.79,13.33,71,40,6.0
185,Fukuechō,JP,1600029043,32.69,128.84,23.4,78,84,6.74
186,Bilma,NE,1600028824,18.69,12.92,35.66,12,0,2.47
187,Tarakan,ID,1600029043,3.3,117.63,26.1,82,100,3.96
188,Balkhash,KZ,1600029044,46.84,74.98,17.02,53,84,3.19
189,Bambous Virieux,MU,1600029044,-20.34,57.76,22.0,78,75,4.6
190,La Rioja,ES,1600029044,42.25,-2.5,24.0,44,100,0.5
191,East London,ZA,1600029044,-33.02,27.91,17.39,57,69,3.75
192,Tulagi,SB,1600029044,-9.1,160.15,25.0,88,20,1.5
193,Viedma,AR,1600029024,-40.81,-63.0,13.33,33,0,4.47
194,Imeni Poliny Osipenko,RU,1600029045,52.42,136.49,12.21,94,11,1.4
195,Oussouye,SN,1600029045,12.48,-16.55,28.0,83,20,2.1
196,Saint-Philippe,RE,1600028834,-21.36,55.77,20.0,68,90,3.1
197,Kota Belud,MY,1600029045,6.35,116.43,25.0,94,20,2.6
198,Swift Current,CA,1600028842,50.28,-107.8,14.0,44,1,9.3
199,Jinhua,CN,1600029045,29.11,119.65,19.8,92,94,0.2
200,Barguzin,RU,1600029045,53.62,109.62,8.0,82,100,1.52
201,Abonnema,NG,1600029045,4.71,6.79,25.0,94,75,1.5
202,Mehamn,NO,1600029046,71.04,27.85,8.0,93,75,1.5
203,Kavaratti,IN,1600028921,10.57,72.64,27.73,79,100,7.97
204,Ust-Nera,RU,1600029046,64.57,143.2,8.15,54,100,1.14
205,Fernley,US,1600029046,39.61,-119.25,32.22,9,0,2.68
206,Blythe,US,1600029044,33.61,-114.6,38.33,11,1,1.5
207,Prince Rupert,CA,1600028967,54.32,-130.32,13.0,93,20,1.0
208,Monroe,US,1600029046,43.15,-77.68,25.0,69,75,6.7
209,San Vicente,AR,1600029047,-26.62,-54.13,28.64,28,50,1.68
210,Popondetta,PG,1600029047,-8.75,148.25,23.17,86,7,0.88
211,Salamiyah,SY,1600029048,35.01,37.05,20.2,77,0,3.06
212,Bonthe,SL,1600029048,7.53,-12.51,25.27,91,100,3.18
213,Alofi,NU,1600029048,-19.06,-169.92,24.0,60,75,8.2
214,Carutapera,BR,1600029048,-1.2,-46.02,26.39,79,13,4.08
215,Puerto Carreño,CO,1600029048,6.19,-67.49,29.0,74,40,4.6
216,Airai,TL,1600029049,-8.93,125.41,12.63,67,1,1.59
217,Arraial do Cabo,BR,1600029012,-22.97,-42.03,26.0,73,0,9.8
218,El Salvador,SV,1600028756,13.83,-88.92,31.0,66,20,3.6
219,Polis,CY,1600029049,35.04,32.43,24.0,78,40,3.1
220,Coahuayana Viejo,MX,1600029049,18.73,-103.68,28.0,74,75,5.1
221,Cervo,ES,1600029049,43.67,-7.41,22.22,1,100,2.15
222,Anta,IN,1600029050,25.15,76.3,27.52,61,30,2.01
223,Iporá,BR,1600028947,-16.44,-51.12,35.57,11,0,3.27
224,Tazovsky,RU,1600029050,67.47,78.7,6.72,95,69,1.86
225,Nouadhibou,MR,1600029050,20.93,-17.03,30.0,58,71,4.1
226,Saiki,JP,1600029050,32.95,131.9,17.78,98,100,3.75
227,Alice Springs,AU,1600029050,-23.7,133.88,17.0,55,0,3.6
228,Rexburg,US,1600029051,43.83,-111.79,24.44,25,1,2.1
229,Siderno,IT,1600029052,38.28,16.3,25.56,88,20,1.5
230,Pandan,PH,1600029052,14.05,124.17,27.22,81,100,1.91
231,Say,NE,1600029052,13.1,2.37,30.0,62,21,1.5
232,Shingū,JP,1600028795,33.73,135.98,20.85,83,0,2.39
233,Palauig,PH,1600029052,15.44,119.9,27.55,74,6,0.72
234,Mildura,AU,1600029053,-34.2,142.15,6.0,100,0,1.5
235,Geraldton,AU,1600028868,-28.77,114.6,18.0,34,0,7.2
236,Lewistown,US,1600029053,40.6,-77.57,20.0,100,90,1.69
237,Sabha,LY,1600029053,27.04,14.43,28.99,29,0,4.68
238,Bonavista,CA,1600029053,48.65,-53.11,14.81,67,96,4.73
239,Price,US,1600028833,39.6,-110.81,26.0,15,1,3.6
240,Alta Floresta,BR,1600029054,-9.88,-56.09,38.0,17,48,2.1
241,Emba,KZ,1600029054,48.83,58.14,15.19,48,0,3.81
242,Parrita,CR,1600029054,9.52,-84.32,24.0,83,75,5.1
243,Gamboula,CF,1600029054,4.12,15.14,20.65,97,95,1.22
244,Barrow,US,1600029055,71.29,-156.79,4.0,93,90,8.2
245,Douentza,ML,1600029055,15.0,-2.95,34.27,34,74,2.2
246,Hualmay,PE,1600029055,-11.1,-77.61,18.3,72,25,4.96
247,Aklavik,CA,1600028817,68.22,-135.01,4.0,61,75,2.1
248,Ambikāpur,IN,1600029055,23.12,83.2,23.32,87,99,1.84
249,Quatre Cocos,MU,1600029056,-20.21,57.76,22.0,78,75,4.6
250,Porangatu,BR,1600028857,-13.44,-49.15,35.65,14,15,3.0
251,Salalah,OM,1600029056,17.02,54.09,27.0,88,75,2.1
252,Fowa,NG,1600029056,8.92,6.4,22.72,93,81,0.54
253,Dongsheng,CN,1600029056,39.82,109.98,12.01,71,6,2.18
254,College Place,US,1600029057,46.05,-118.39,24.0,25,90,3.1
255,Porto Santo,PT,1600029057,33.07,-16.34,23.0,83,40,3.1
256,Saint-Joseph,RE,1600029057,-21.37,55.62,20.56,68,90,3.1
257,Tosya,TR,1600029057,41.02,34.04,17.62,72,12,1.45
258,Saskatoon,CA,1600029057,52.12,-106.63,12.78,58,90,3.6
259,Camaquã,BR,1600029058,-30.85,-51.81,19.81,95,85,1.15
260,Cortez,US,1600028929,37.35,-108.59,26.0,22,1,6.2
261,Coyhaique,CL,1600029058,-45.58,-72.07,9.0,49,40,4.1
262,Jiangyou,CN,1600029058,31.77,104.72,17.32,88,13,0.61
263,Mont-Dore,NC,1600029058,-22.28,166.58,20.0,82,90,0.5
264,Haines Junction,CA,1600029058,60.75,-137.51,8.99,49,44,1.55
265,Taltal,CL,1600029059,-25.4,-70.48,16.98,62,31,3.03
266,Gamba,GA,1600029059,-2.65,10.0,23.91,85,100,3.08
267,Gizo Government Station,SB,1600029059,-8.1,156.84,27.92,74,16,1.57
268,Sydney Mines,CA,1600029060,46.24,-60.22,18.33,68,75,6.2
269,Avera,US,1600029060,33.19,-82.53,30.0,66,75,3.6
270,Haapiti,PF,1600029060,-17.57,-149.87,29.0,66,20,6.7
