,City,Country,Date,Latitude,Longitude,Max Temperature,Humidity,Cloudiness,Wind Speed
271,Otavi,NA,1600029060,-19.65,17.33,16.24,30,0,0.65
272,Rincon,US,1600029060,32.3,-81.24,31.0,62,75,6.7
273,Makakilo City,US,1600029061,21.35,-158.09,29.0,51,20,2.6
274,Spirit River,CA,1600029061,55.78,-118.84,11.0,71,90,5.1
275,Kango,GA,1600029061,0.19,10.1,23.61,87,84,1.51
276,Bariloche,AR,1600029061,-41.15,-71.31,8.0,45,20,11.8
277,Ribeira Grande,PT,1600029062,38.52,-28.7,23.0,83,40,6.7
278,Fare,PF,1600029062,-16.7,-151.02,25.92,77,91,5.65
279,Klaksvík,FO,1600029062,62.23,-6.59,9.0,87,98,2.6
280,Nizwá,OM,1600029063,22.93,57.53,29.65,35,9,0.58
281,Tortolì,IT,1600029063,39.93,9.66,25.0,78,5,4.1
282,Lata,PT,1600029063,40.16,-8.33,22.78,88,20,2.1
283,Great Yarmouth,GB,1600029064,52.61,1.73,17.22,97,0,1.34
284,Çine,TR,1600029064,37.61,28.06,23.0,78,0,1.5
285,Gigmoto,PH,1600029065,13.78,124.39,27.04,80,100,2.03
286,Djougou,BJ,1600029065,9.71,1.67,22.35,88,75,1.82
287,Ahipara,NZ,1600029065,-35.17,173.17,12.86,65,95,3.62
288,Uvira,CD,1600029065,-3.41,29.15,25.49,50,27,1.19
289,Yaan,NG,1600029065,7.38,8.57,22.92,97,90,2.05
290,Biak,ID,1600029065,-0.91,122.88,23.77,80,100,3.42
291,Pevek,RU,1600029066,69.7,170.31,5.83,84,94,3.76
292,Omboué,GA,1600029066,-1.57,9.26,24.16,81,94,4.12
293,Nelson Bay,AU,1600029066,-32.72,152.15,13.33,87,3,4.35
294,Sikonge,TZ,1600029066,-5.63,32.77,23.0,49,97,1.9
295,Koungou,YT,1600029066,-12.73,45.2,25.0,83,75,2.1
296,Visby,SE,1600029066,57.64,18.3,16.67,82,99,9.8
297,Yibin,CN,1600029067,28.77,104.62,20.04,92,100,0.67
298,Varna,BG,1600029067,43.22,27.92,20.0,55,48,3.6
299,Kimberley,ZA,1600029010,-28.73,24.76,18.0,36,0,3.6
300,Caraz,PE,1600029067,-9.05,-77.81,21.69,37,84,2.36
301,Praia,CV,1600028821,14.92,-23.51,26.29,82,36,4.33
302,Turan,VN,1600029067,16.07,108.22,27.0,88,20,1.0
303,Esmeraldas,BR,1600028871,-19.76,-44.31,28.0,32,0,4.6
304,Cururupu,BR,1600028869,-1.83,-44.87,28.03,65,6,2.86
305,Cidreira,BR,1600029068,-30.18,-50.21,18.12,93,62,3.74
306,Talnakh,RU,1600029068,69.49,88.4,11.0,93,40,5.0
307,Torbay,CA,1600029068,47.67,-52.73,16.11,48,75,2.6
308,Padang,ID,1600028938,-0.95,100.35,24.95,73,92,1.69
309,Gemena,CD,1600029068,3.25,19.77,22.02,94,27,0.2
310,Hamilton,US,1600029068,39.18,-84.53,27.78,57,1,1.5
311,Samarai,PG,1600029069,-10.62,150.67,24.83,82,86,3.32
312,Ust-Tsilma,RU,1600029069,65.44,52.15,10.2,92,100,4.32
313,Saint Anthony,US,1600029069,45.02,-93.22,22.78,56,1,2.6
314,Mthatha,ZA,1600029069,-31.59,28.78,13.0,76,100,3.6
315,Tevaitoa,PF,1600029070,-16.78,-151.5,26.09,79,78,5.39
316,Lüderitz,NA,1600028774,-26.65,15.16,13.93,65,0,10.51
317,Beyneu,KZ,1600029070,45.32,55.2,19.89,45,0,3.43
318,Ippy,CF,1600029071,6.27,21.22,21.17,94,100,0.96
319,Hasaki,JP,1600029071,35.73,140.83,21.11,94,75,3.1
320,Brønnøysund,NO,1600029071,65.46,12.2,10.0,81,75,7.2
321,Pochutla,MX,1600029071,15.74,-96.47,31.67,70,75,4.1
322,Zverinogolovskoye,RU,1600029071,54.46,64.85,8.83,93,77,2.7
323,Domoni,KM,1600029072,-12.26,44.53,23.49,83,18,1.84
324,Lac du Bonnet,CA,1600029072,50.25,-96.06,13.89,99,54,1.79
325,Ostrovnoy,RU,1600029072,68.05,39.51,9.26,95,99,2.61
326,Pacific Grove,US,1600028787,36.62,-121.92,15.56,87,90,2.6
327,Seoul,KR,1600028826,37.57,126.98,18.0,93,1,1.33
328,Nuevitas,CU,1600029073,21.55,-77.26,33.0,52,40,4.1
329,General Roca,AR,1600029073,-39.03,-67.58,16.0,25,0,6.2
330,Holbrook,US,1600029073,40.81,-73.08,24.0,73,75,4.6
331,Raahe,FI,1600029073,64.68,24.48,13.0,66,46,6.7
332,Swellendam,ZA,1600029073,-34.02,20.44,14.0,62,12,7.7
333,Carolina,PR,1600029074,18.38,-65.96,31.0,74,40,6.7
334,Vredendal,ZA,1600029074,-31.67,18.5,12.71,68,66,3.82
335,Belaya Gora,RU,1600029074,68.53,146.42,7.49,58,33,2.42
336,Nagato,JP,1600029075,34.38,131.2,21.0,82,20,1.5
337,Marawi,PH,1600029075,8.0,124.29,23.89,95,56,2.68
338,Kiryat Gat,IL,1600028816,31.61,34.76,27.78,100,0,2.85
339,Sterling,US,1600028806,39.01,-77.43,27.22,54,40,2.1
340,Jambi City,ID,1600029075,-1.6,103.62,23.56,94,100,0.28
341,Ovsyanka,RU,1600029076,55.96,92.55,3.0,100,24,1.0
342,Laguna,US,1600029076,38.42,-121.42,27.0,39,90,2.57
343,Kamina,CD,1600029076,-8.74,24.99,23.16,31,0,1.59
344,Mocajuba,BR,1600029076,-2.58,-49.51,30.52,55,53,1.41
345,Tambopata,PE,1600029077,-12.73,-69.18,35.0,47,20,2.6
346,Stranda,NO,1600029077,62.31,6.94,10.0,95,92,1.62
347,Ile-Ife,NG,1600029077,7.47,4.57,21.51,98,92,0.84
348,Pangani,TZ,1600029077,-5.43,38.97,23.65,83,46,1.51
349,Teodoro Sampaio,BR,1600029077,-22.53,-52.17,30.14,27,58,1.93
350,Bacolod City,PH,1600029078,10.67,122.95,25.89,84,89,2.14
351,Bolivar,US,1600029078,37.61,-93.41,26.11,53,9,3.46
352,Sioux Lookout,CA,1600029035,50.1,-91.92,12.0,66,75,5.1
353,Spring Valley,US,1600029067,36.11,-115.25,36.67,7,1,1.5
354,Yeniseysk,RU,1600029078,58.45,92.17,7.35,94,85,0.6
355,Esim,GH,1600028917,4.87,-2.24,24.34,90,77,3.52
356,Sabang,ID,1600029078,5.89,95.32,27.79,76,100,4.99
357,Piotrków Trybunalski,PL,1600029051,51.41,19.7,14.44,83,33,1.98
358,Sisimiut,GL,1600029066,66.94,-53.67,2.3,79,9,1.32
359,Bako,ET,1600029079,5.78,36.57,20.98,55,100,2.25
360,Qaqortoq,GL,1600028945,60.72,-46.03,7.0,33,0,3.1
361,Montepuez,MZ,1600029079,-13.13,39.0,20.96,76,8,3.08
362,San Alejo,SV,1600029079,13.43,-87.96,28.36,82,89,1.78
363,Kuching,MY,1600029079,1.55,110.33,24.0,100,40,1.75
364,Smithers,CA,1600028800,54.78,-127.17,13.0,71,90,1.5
365,Teeli,RU,1600029080,51.03,90.23,3.56,72,0,0.66
366,Springbok,ZA,1600029080,-29.66,17.89,4.98,90,1,1.93
367,Cabedelo,BR,1600029080,-6.98,-34.83,26.0,74,20,6.7
368,Chālūs,IR,1600029080,36.66,51.42,23.0,83,20,1.09
369,Thinadhoo,MV,1600029081,0.53,72.93,28.08,69,100,2.81
370,Kruisfontein,ZA,1600029081,-34.0,24.73,12.31,58,0,4.54
371,Towada,JP,1600029081,40.61,141.21,16.0,87,75,7.2
372,Shancheng,CN,1600029082,34.8,116.08,19.24,92,97,2.12
373,Tokur,RU,1600029082,53.13,132.9,10.23,95,71,0.93
374,Troitskoye,RU,1600029082,52.98,84.68,8.29,77,43,2.45
375,Inhambane,MZ,1600028827,-23.86,35.38,21.05,81,1,3.95
376,Roald,NO,1600028790,62.58,6.13,12.0,76,75,6.2
377,Waingapu,ID,1600029082,-9.66,120.26,22.45,83,67,2.05
378,Khorinsk,RU,1600029082,52.17,109.77,5.02,85,81,1.23
379,Takoradze,GH,1600029083,4.88,-1.76,24.28,91,46,4.24
380,Burnie,AU,1600029083,-41.07,145.92,8.89,72,85,5.81
381,Myitkyina,MM,1600029083,25.38,97.4,23.27,96,100,0.38
382,Port Hardy,CA,1600029084,50.7,-127.42,13.0,93,90,2.6
383,Lebu,CL,1600029084,-37.62,-73.65,10.65,68,0,8.14
384,Mogadishu,SO,1600029084,2.04,45.34,26.05,81,95,7.2
385,Mahon,ES,1600029084,39.89,4.27,24.0,78,0,3.1
386,Honningsvåg,NO,1600029084,70.98,25.97,9.0,87,75,1.0
387,Gravdal,NO,1600029085,68.12,13.5,8.0,81,75,4.1
388,Jalu,LY,1600029085,29.03,21.55,31.43,26,0,6.77
389,Gewanē,ET,1600029085,10.17,40.65,29.3,47,54,4.0
390,Rizómata,GR,1600029085,40.35,22.2,25.0,48,22,1.08
391,Torquay,GB,1600029086,50.46,-3.51,16.67,94,0,2.22
392,Shemonaīkha,KZ,1600029086,50.63,81.91,11.04,45,0,2.22
393,Grindavik,IS,1600029086,63.84,-22.43,7.0,87,75,4.6
394,Dubovka,RU,1600029087,49.06,44.83,13.0,47,0,3.0
395,Tura,IN,1600029087,25.52,90.22,23.34,98,100,2.73
396,Tromsø,NO,1600029087,69.65,18.96,8.0,81,40,3.6
397,Kandrian,PG,1600029087,-6.22,149.55,25.78,86,65,5.7
398,Ghanzi,BW,1600029087,-21.57,21.78,18.17,27,0,3.63
399,Port-Gentil,GA,1600029087,-0.72,8.78,25.0,83,40,6.31
400,Touros,BR,1600028854,-5.2,-35.46,26.0,69,20,6.2
401,Aksarayskiy,RU,1600029087,46.79,48.01,15.0,44,0,1.0
402,Garoowe,SO,1600029088,8.41,48.48,28.75,48,26,9.86
403,Dawlatabad,AF,1600029088,36.41,64.91,17.97,27,0,3.44
404,Pinheiro,BR,1600029088,-2.52,-45.08,27.0,73,51,1.86
405,Moose Factory,CA,1600028850,51.26,-80.61,11.0,66,90,6.2
406,Russell,US,1600029088,32.35,-85.2,34.0,46,40,3.6
407,Chapais,CA,1600029089,49.78,-74.85,15.0,100,90,6.2
408,Samaná,DO,1600029089,19.21,-69.34,30.0,79,75,4.1
409,Caloundra,AU,1600029089,-26.8,153.13,13.89,98,27,2.45
410,Howard Springs,AU,1600029089,-12.5,131.05,24.0,78,40,1.0
411,Gazojak,TM,1600029089,41.19,61.4,19.65,26,0,3.47
412,Stege,DK,1600029089,54.99,12.28,17.22,86,0,8.8
413,Kuruman,ZA,1600029025,-27.45,23.43,17.22,37,0,0.89
414,Laishevo,RU,1600028984,55.4,49.55,13.0,58,99,5.0
415,Wollongong,AU,1600029090,-34.43,150.88,11.67,81,0,0.45
416,Cravo Norte,CO,1600029090,6.3,-70.2,30.68,68,95,1.1
417,Provincia di Imperia,IT,1600029091,43.97,7.78,27.78,47,5,6.7
418,Liverpool,GB,1600028941,53.41,-2.98,18.0,77,0,2.6
419,Ulaangom,MN,1600029092,49.98,92.07,5.36,69,0,0.08
420,Coolum Beach,AU,1600029092,-26.53,153.1,13.89,100,26,1.91
421,Marzuq,YE,1600028914,14.4,46.47,28.13,50,26,2.22
422,Mosal'sk,RU,1600029092,54.49,34.98,10.49,89,71,3.69
423,Marck,FR,1600029092,50.95,1.94,16.67,89,0,0.45
424,Upington,ZA,1600029093,-28.45,21.26,15.0,37,0,2.6
425,Chifeng,CN,1600029093,42.27,118.96,15.67,86,100,0.3
426,Yar-Sale,RU,1600029093,66.83,70.83,6.67,91,24,4.21
427,Zarichne,UA,1600029094,51.81,26.13,13.08,81,77,2.41
428,San Felipe,VE,1600029094,10.34,-68.74,30.95,57,10,2.6
429,Diffa,NE,1600029094,13.32,12.61,28.72,47,85,1.99
430,Mareeba,AU,1600029094,-17.0,145.43,19.44,88,64,0.89
431,Cacoal,BR,1600029094,-11.44,-61.45,39.08,17,37,2.33
432,Caravelas,BR,1600029094,-17.71,-39.25,23.05,83,97,3.54
433,Craig,US,1600029094,40.52,-107.55,27.0,9,1,4.1
434,Vostok,RU,1600029095,46.49,135.88,5.0,71,100,1.54
435,Voyvozh,RU,1600029095,62.89,54.96,9.31,94,100,5.23
436,Salym,RU,1600029095,60.06,71.48,7.37,95,30,1.12
437,Hoquiam,US,1600029095,46.98,-123.89,18.33,77,90,2.6
438,Broome,US,1600029096,42.25,-75.83,18.89,93,90,3.6
439,Kodinsk,RU,1600029096,58.69,99.18,6.67,93,100,1.39
440,Khandyga,RU,1600029096,62.67,135.6,10.04,88,100,3.05
441,Sokoni,TZ,1600029096,-6.43,39.55,25.0,88,20,2.1
442,Fes,MA,1600028888,34.04,-5.0,26.0,61,40,3.1
443,Teya,RU,1600029097,60.38,92.63,7.09,88,0,0.58
444,Pyaozerskiy,RU,1600029097,65.83,31.17,8.19,85,60,3.1
445,Lopukhiv,UA,1600029098,48.37,23.96,14.56,85,78,1.62
446,Tanout,NE,1600029098,14.97,8.89,33.39,26,92,4.35
447,Soyo,AO,1600029098,-6.13,12.37,23.23,83,43,4.31
448,Tsaratanana,MG,1600029098,-16.78,47.65,19.97,67,1,6.06
449,Bilibino,RU,1600029098,68.05,166.44,5.29,74,100,2.59
450,Starosubkhangulovo,RU,1600029099,53.1,57.44,5.98,86,62,0.15
451,Saint George,US,1600028806,37.1,-113.58,33.89,10,1,3.1
452,Keetmanshoop,NA,1600029099,-26.58,18.13,11.62,47,5,4.69
453,Abbeville,FR,1600029099,50.1,1.83,15.56,79,0,1.73
454,Fairbanks,US,1600029100,64.84,-147.72,10.0,57,1,1.5
455,Tunceli,TR,1600029100,39.11,39.55,22.0,28,0,2.6
456,Naliya,IN,1600029100,23.27,68.83,28.84,79,100,4.7
457,Prome,MM,1600029100,18.82,95.22,24.78,96,100,2.48
458,Cayenne,GF,1600029100,4.93,-52.33,31.0,58,1,5.7
459,Bol,TD,1600029101,13.46,14.71,27.13,73,97,0.9
460,Buala,SB,1600029101,-8.14,159.59,28.26,75,82,3.72
461,Sobolevo,RU,1600029101,54.43,31.9,10.26,87,64,3.93
462,Anadyr,RU,1600028808,64.75,177.48,8.0,93,40,11.0
463,Tigil',RU,1600029101,57.8,158.67,7.43,86,100,4.91
464,Maraã,BR,1600029102,-1.83,-65.37,33.72,49,78,0.78
465,Kununurra,AU,1600029102,-15.77,128.73,21.0,88,75,0.5
466,Contrecoeur,CA,1600029102,45.85,-73.23,16.67,93,100,1.79
467,Ransang,PH,1600029102,8.96,117.58,26.5,80,35,1.27
468,Olinda,BR,1600029102,-8.01,-34.86,27.0,65,20,3.6
469,Havre-St-Pierre,CA,1600028870,50.23,-63.6,14.0,67,75,7.2
470,Kemin,KG,1600029103,42.78,75.69,14.46,37,0,1.95
471,Preobrazheniye,RU,1600029103,42.9,133.91,15.09,85,100,8.12
472,Hvolsvollur,IS,1600029103,63.75,-20.22,8.0,81,75,8.7
473,Porto Belo,BR,1600029103,-27.16,-48.55,27.22,78,0,5.7
474,Marquette,US,1600029103,46.53,-87.63,16.67,71,9,1.79
475,Hebi,CN,1600029104,35.9,114.19,19.57,75,51,0.31
476,Lucapa,AO,1600029104,-8.42,20.74,24.47,34,65,0.53
477,Haifa,IL,1600029104,32.82,34.99,26.34,65,0,4.1
478,San Rafael,AR,1600028916,-34.62,-68.33,17.98,26,0,2.45
479,Terrace Bay,CA,1600029105,48.78,-87.1,15.0,47,75,8.2
480,Kiama,AU,1600029106,-34.68,150.87,11.67,88,1,2.59
481,Codrington,AU,1600029106,-38.27,141.97,7.27,92,0,3.12
482,Karratha,AU,1600028852,-20.74,116.85,23.66,35,34,2.77
483,Selkirk,CA,1600029091,50.14,-96.88,14.0,44,75,7.2
484,Nishihara,JP,1600029106,26.18,127.76,28.0,94,75,1.5
485,Faya,SA,1600029106,18.39,42.45,24.0,13,0,2.1
486,Raudeberg,NO,1600029107,61.99,5.14,10.56,92,79,6.05
487,Bac Lieu,VN,1600029107,9.29,105.72,26.05,86,100,4.38
488,Las Margaritas,MX,1600029107,16.32,-91.98,21.3,90,82,0.68
489,Guangyuan,CN,1600029107,32.44,105.82,15.56,99,86,0.89
490,Nioro,GM,1600029107,13.35,-15.75,25.58,90,41,3.26
491,Porto Velho,BR,1600029107,-8.76,-63.9,34.0,46,20,2.1
492,Beihai,CN,1600029108,21.48,109.1,27.4,83,47,3.68
493,Blyth,GB,1600029108,55.13,-1.51,15.56,77,20,4.1
494,Lexington,US,1600028902,37.99,-84.48,25.0,88,40,2.6
495,Huilong,CN,1600029108,31.81,121.66,24.44,87,72,1.18
496,Beringovskiy,RU,1600029108,63.05,179.32,9.31,97,100,5.95
497,Bouillante,GP,1600029108,16.13,-61.77,31.0,66,75,3.6
498,Olafsvik,IS,1600029109,64.89,-23.71,8.13,74,98,5.44
499,Bāsudebpur,IN,1600029109,21.14,86.74,27.65,87,100,1.12
500,Boden,SE,1600029109,65.83,21.69,10.0,71,11,3.6
501,Dera Gopipur,IN,1600029110,31.9,76.22,24.16,71,0,1.66
502,Abu Kamal,SY,1600029111,34.45,40.92,30.3,30,0,4.01
503,Celestún,MX,1600028855,20.87,-90.4,30.26,65,49,4.38
504,Yangi Marg`ilon,UZ,1600029111,40.43,71.72,18.0,45,0,4.1
505,Dromolaxia,CY,1600029111,34.88,33.59,27.22,78,0,3.1
506,Rodolfo Sánchez Taboada,MX,1600029111,31.72,-116.57,30.56,28,1,2.24
507,Haslett,US,1600028900,42.75,-84.4,21.11,60,90,4.1
508,Port Macquarie,AU,1600028928,-31.43,152.92,11.11,97,25,1.79
509,Sawākin,SD,1600029112,19.11,37.33,32.44,54,0,3.31
510,Husavik,IS,1600028906,66.04,-17.34,7.0,81,75,2.1
511,Gimli,CA,1600029112,50.63,-96.99,13.89,99,79,1.79
512,Bam,IR,1600029112,29.11,58.36,23.36,17,0,5.76
513,Batticaloa,LK,1600029112,7.71,81.69,26.77,70,97,3.47
514,Shubarshi,KZ,1600029112,48.59,57.19,15.27,38,0,2.57
515,Penzance,GB,1600029113,50.12,-5.54,16.0,93,0,7.7
516,Juba,SS,1600029113,4.85,31.58,21.79,91,89,1.18
517,North Bend,US,1600029113,43.41,-124.22,22.22,100,90,2.1
518,Esterhazy,CA,1600029113,50.65,-102.08,14.41,36,40,2.27
519,Luga,RU,1600029068,58.74,29.85,10.19,77,0,3.91
520,Estrela,BR,1600029072,-28.06,-50.94,21.8,69,0,1.65
521,Dickinson,US,1600029114,29.46,-95.05,33.33,52,75,4.6
522,Bambanglipuro,ID,1600029114,-7.95,110.28,23.37,86,79,2.1
523,Pombia,IT,1600029114,45.65,8.63,23.33,78,0,1.0
524,Dobrinka,RU,1600029114,52.17,40.47,15.94,39,99,5.35
525,Ouadda,CF,1600029114,8.08,22.4,21.17,91,100,0.44
526,Mercedes,AR,1600029114,-34.65,-59.43,21.67,18,0,3.58
527,Adrian,US,1600029116,41.9,-84.04,23.89,56,40,4.6
528,Porto-Novo,BJ,1600029116,6.5,2.6,26.0,78,20,5.1
529,Maniitsoq,GL,1600029116,65.42,-52.9,2.92,73,0,2.59
530,Talavera de la Reina,ES,1600029116,39.96,-4.83,30.0,25,14,3.98
531,Digapahandi,IN,1600029117,19.37,84.58,26.25,91,96,0.59
532,Narsaq,GL,1600029117,60.92,-46.05,7.0,33,0,3.1
533,Kokopo,PG,1600029117,-4.35,152.26,26.65,82,7,5.42
534,Rome,US,1600028885,43.21,-75.46,19.0,82,90,3.86
535,Los Llanos de Aridane,ES,1600029117,28.66,-17.92,24.0,78,20,1.0
536,Kaeo,NZ,1600029118,-35.1,173.78,10.56,3,61,0.45
537,Bodaybo,RU,1600029118,57.85,114.19,11.95,85,78,1.85
538,Bograd,RU,1600029118,54.23,90.83,3.0,100,39,1.19
539,Bourail,NC,1600029118,-21.57,165.48,21.68,74,59,2.48
540,San Ramon,US,1600028867,37.78,-121.98,26.67,47,90,2.1
541,Fairview,US,1600029015,40.81,-74.0,25.0,73,40,3.1
542,Barra Patuca,HN,1600029118,15.8,-84.28,30.39,66,51,4.99
543,Grand Gaube,MU,1600029119,-20.01,57.66,19.44,85,93,2.24
544,Shirgaon,IN,1600029119,19.7,72.7,27.33,80,100,2.79
545,Bulawayo,ZW,1600029119,-20.15,28.58,17.04,37,72,1.21
